Title,Author,Genre,Link,Updates,Views,Subscribers,Rating,Age Rating,Status
Tales of the Unusual 2,Seongdae Oh,Horror,https://www.webtoons.com/en/horror/tales-of-the-unusual-2/list?title_no=6854,UPEVERY THURSDAY,949743,40722,9.79,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
A Life-ChangingTurn,Gwang-jin,Thriller,https://www.webtoons.com/en/thriller/a-life-changing-turn/list?title_no=6852,UPEVERY THURSDAY,807234,54056,9.24,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
My Crush Got Possessedby the Duke,Dadam,Fantasy,https://www.webtoons.com/en/fantasy/my-crush-got-possessed-by-the-duke/list?title_no=6410,UPEVERY THURSDAY,2.3M,116078,9.18,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Dungeons & Dentists,Tricia Rose,Fantasy,https://www.webtoons.com/en/fantasy/dungeons-and-dentists/list?title_no=4519,UPEVERY THURSDAY,1.6M,57686,9.18,This series is rated Teen. Please review the Content Ratings page for more information.,Dungeons & Dentists will return!
Guardian Girl,MJ Kim,Romance,https://www.webtoons.com/en/romance/guardian-girl/list?title_no=6744,UPEVERY THURSDAY,945669,36498,9.47,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Take My Money,AlohaDRY,Romance,https://www.webtoons.com/en/romance/take-my-money/list?title_no=5818,UPEVERY THURSDAY,3M,84344,8.59,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
A Man's Man,Dogado,Drama,https://www.webtoons.com/en/drama/a-mans-man/list?title_no=2876,UPEVERY THURSDAY,10.8M,136310,9.86,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Cloud Walker,kariyeen,Action,https://www.webtoons.com/en/action/cloud-walker/list?title_no=2730,UPEVERY THURSDAY,10.5M,281898,9.34,N/A,N/A
Onsaemiro:Never Changing,YeoWoo,Fantasy,https://www.webtoons.com/en/fantasy/onsaemiro-never-changing/list?title_no=6130,UPEVERY THURSDAY,4.3M,202289,9.23,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Dreaming Freedom,2L,Romance,https://www.webtoons.com/en/romance/dreaming-freedom/list?title_no=4180,UPEVERY THURSDAY,41.1M,1M,9.58,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Vibe Check!,Ucheomaaa,Comedy,https://www.webtoons.com/en/comedy/vibe-check/list?title_no=2724,"UPEVERY THU, SUN",5.2M,84420,9.55,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
BOSS RETURN,Seijun Yang,Action,https://www.webtoons.com/en/action/boss-return/list?title_no=6740,UPEVERY THURSDAY,494330,24331,9.4,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Enoch: The Shining Tree,Chiroyugo,Action,https://www.webtoons.com/en/action/enoch-the-shining-tree/list?title_no=6889,UPEVERY THURSDAY,652382,48088,9.32,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Fist Wielder,Studio Ace Productions,Action,https://www.webtoons.com/en/action/fist-wielder/list?title_no=2703,UPEVERY THURSDAY,1.4M,67373,9.14,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Memory Shop,COMO SOY,Heartwarming,https://www.webtoons.com/en/heartwarming/the-memory-shop/list?title_no=7356,UPEVERY THURSDAY,324206,36609,9.8,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
King of the East,Lee Dani,Action,https://www.webtoons.com/en/action/king-of-the-east/list?title_no=4081,UPEVERY THURSDAY,3.6M,71229,9.67,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Light of Arad: Forerunner,jegalbokja,Action,https://www.webtoons.com/en/action/light-of-arad-forerunner/list?title_no=6888,UPEVERY THURSDAY,384661,34830,9.12,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Pieces of Humans,IRON Shin,Thriller,https://www.webtoons.com/en/thriller/pieces-of-humans/list?title_no=6850,UPEVERY THURSDAY,439391,27948,9.56,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
S.K.T(Swallow Knights Tales),Goodang,Fantasy,https://www.webtoons.com/en/fantasy/skt-swallow-knights-tales/list?title_no=6313,UPEVERY THURSDAY,617295,47465,8.74,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Hellbound 2: The Resurrected,Yeon Sangho,Thriller,https://www.webtoons.com/en/thriller/hellbound-2-the-resurrected/list?title_no=7361,UPEVERY THURSDAY,81790,18232,9.34,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
My Miniature Life Manual,Ellen Shim,Comedy,https://www.webtoons.com/en/comedy/my-miniature-life-manual/list?title_no=5514,UPEVERY THURSDAY,1.3M,42790,9.53,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Vigilante,kim kyusam,Action,https://www.webtoons.com/en/action/vigilante/list?title_no=5555,UPEVERY THURSDAY,1M,54387,9.23,N/A,N/A
To-Do List,RYO.,Romance,https://www.webtoons.com/en/romance/to-do-list/list?title_no=4568,UPEVERY THURSDAY,1.2M,58727,9.21,N/A,N/A
My Dud to Stud Boyfriend,YERANG,Drama,https://www.webtoons.com/en/drama/my-dud-to-stud-boyfriend/list?title_no=4353,UPEVERY THURSDAY,16.5M,225555,8.39,This series is rated Young Adult. Please review the Content Ratings page for more information.,My Dud to Stud Boyfriend will return!
Dagger to the Heart,oori_,Fantasy,https://www.webtoons.com/en/fantasy/dagger-to-the-heart/list?title_no=7115,UPEVERY THURSDAY,2.7M,353395,9.58,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Demon King's Warrior Daughter,Geobong Choi,Fantasy,https://www.webtoons.com/en/fantasy/the-demon-kings-warrior-daughter/list?title_no=6531,UPEVERY THURSDAY,2.9M,137363,9.36,This series is rated Young Adult. Please review the Content Ratings page for more information.,The Demon King's Warrior Daughter will return!
Space Boy,Stephen McCranie,Sci-fi,https://www.webtoons.com/en/sf/space-boy/list?title_no=400,UPEVERY THURSDAY,91.6M,489332,9.84,N/A,Space Boy will return!
Locked Onto You,Lee dala,Romance,https://www.webtoons.com/en/romance/locked-onto-you/list?title_no=5450,UPEVERY THURSDAY,42.1M,1.1M,8.85,This series is rated Young Adult. Please review the Content Ratings page for more information.,Locked Onto You will return!
Silvyre,Yaruno,Action,https://www.webtoons.com/en/action/silvyre/list?title_no=5160,UPEVERY THURSDAY,200879,19334,8.26,This series is rated Mature. Please review the Content Ratings page for more information.,Silvyre will return!
At Arm's Length,Zushi,Drama,https://www.webtoons.com/en/drama/at-arms-length/list?title_no=3653,UPEVERY THURSDAY,693770,65442,9.5,This series is rated Mature. Please review the Content Ratings page for more information.,At Arm's Length will return!
Manny,A.Rasen,Horror,https://www.webtoons.com/en/horror/manny/list?title_no=6279,UPEVERY THURSDAY,1.5M,59155,9.41,This series is rated Mature. Please review the Content Ratings page for more information.,Manny will return!
Escaping the Illusion,Poppy,Drama,https://www.webtoons.com/en/drama/escaping-the-illusion/list?title_no=6547,UPEVERY THURSDAY,529755,71110,9.42,This series is rated Young Adult. Please review the Content Ratings page for more information.,Escaping the Illusion will return!
Dead But Not Gone,R Schaeffer,Thriller,https://www.webtoons.com/en/thriller/dead-but-not-gone/list?title_no=4838,UPEVERY THURSDAY,3M,127173,9.55,This series is rated Teen. Please review the Content Ratings page for more information.,Dead But Not Gone will return!
Unlovable Replacement,Nylana,Romance,https://www.webtoons.com/en/romance/unlovable-replacement/list?title_no=1762,UPEVERY THURSDAY,118.3M,1.8M,9.72,N/A,Unlovable Replacement will return!
unOrdinary,uru-chan,Superhero,https://www.webtoons.com/en/super-hero/unordinary/list?title_no=679,UPEVERY THURSDAY,1.3B,6.1M,9.73,N/A,unOrdinary will return in July!
My Lucky Strike,bakSSdam,Romance,https://www.webtoons.com/en/romance/my-lucky-strike/list?title_no=5444,UPEVERY THURSDAY,21.1M,544657,9.73,This series is rated Young Adult. Please review the Content Ratings page for more information.,My Lucky Strike will return!
Miez,Hiseki,Sci-fi,https://www.webtoons.com/en/sf/miez/list?title_no=2719,UPEVERY THURSDAY,1.3M,99425,9.23,This series is rated Teen. Please review the Content Ratings page for more information.,Miez will return!
The Princess's Jewels,JYUN,Fantasy,https://www.webtoons.com/en/fantasy/the-princesss-jewels/list?title_no=2966,UPEVERY THURSDAY,26.5M,517167,7.39,N/A,N/A
The Red King,Heylenne,Supernatural,https://www.webtoons.com/en/supernatural/the-red-king/list?title_no=1687,UPEVERY THURSDAY,28M,818922,9.75,N/A,N/A
Love 4 a Walk,Nuria Sanguino,Romance,https://www.webtoons.com/en/romance/love-4-a-walk/list?title_no=6278,UPEVERY FRIDAY,70.6M,2.1M,9.76,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Selfish Romance,Gyogyo Park,Romance,https://www.webtoons.com/en/romance/selfish-romance/list?title_no=6555,UPEVERY FRIDAY,26.5M,1.3M,9.78,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
